Barcode	Outlier
460243	Outlier-Low
460244	OK
460245	Outlier-Low
460246	OK
460247	OK
460248	OK
460249	OK
460250	OK
460251	OK
460252	OK
460253	Outlier-Low
460254	OK
460255	OK
460256	OK
460257	Outlier-Low
460258	OK
460259	Outlier-Low
460260	OK
460261	OK
460262	OK
460263	OK
460264	OK
460265	OK
460266	OK
460267	OK
460268	OK
460269	OK
460270	OK
460271	OK
460272	OK
460273	OK
460274	OK
460275	OK
460276	OK
460277	OK
460278	OK
460279	OK
460280	OK
460281	OK
460282	OK
460283	OK
460284	Outlier-Low
460285	OK
460286	OK
460287	OK
460288	Outlier-Low
460289	OK
460290	OK
460291	OK
460292	OK
