Barcode	Outlier
460315	OK
460316	OK
460317	OK
460318	OK
460319	OK
460320	OK
460321	Fail
460322	OK
460323	Outlier-High
460324	OK
460325	OK
460326	Outlier-High
460327	OK
460328	OK
460329	OK
460330	Fail
460331	OK
460332	OK
460333	OK
460334	OK
460335	OK
460336	OK
460337	OK
460338	OK
460339	Outlier-Low
460340	OK
460341	Fail
460342	OK
460343	Outlier-High
460344	OK
460345	Outlier-Low
460346	OK
460347	OK
460348	OK
460349	Outlier-High
460350	Outlier-High
460351	OK
460352	OK
460353	Outlier-Low
460354	OK
460355	Outlier-Low
460356	OK
460357	Fail
460358	OK
460359	OK
460360	OK
460361	OK
460362	OK
460363	OK
460364	OK
