Barcode	Pre-OCV	Pre-CCV	Post-OCV	Post-CCV	Outlier
471388	3.184	2.888			OK
471389	3.206	2.912			OK
471390	3.201	2.904			OK
471391	3.187	2.896			OK
471392	3.202	2.903			OK
471393	3.190	2.883			OK
471394	3.192	2.882			OK
471395	3.203	2.905			OK
471396	3.190	2.885			OK
471397	3.197	2.888			OK
471398	3.187	2.880			OK
471399	3.194	2.889			OK
471400	3.197	2.888			OK
471401	3.196	2.887			OK
471402	3.194	2.892			OK
471403	3.195	2.896			OK
471404	3.192	2.895			OK
471405	3.204	2.917			OK
471406	3.194	2.891			OK
471407	3.188	2.886			OK
471408	3.194	2.897			OK
471409	3.194	2.885			OK
471410	3.190	2.898			OK
471411	3.205	2.901			OK
471412	3.199	2.884			OK
471413	3.194	2.878			OK
471414	3.189	2.891			OK
471415	3.196	2.890			OK
471416	3.191	2.883			OK
471417	3.207	2.897			OK
471418	3.215	2.887			OK
471419	3.189	2.892			OK
471420	3.186	2.886			OK
471421	3.186	2.886			OK
471422	3.189	2.884			OK
471423	3.193	2.874			OK
471424	3.197	2.895			OK
471425	3.185	2.889			OK
471426	3.192	2.895			OK
471427	3.195	2.903			OK
471428	3.204	2.905			OK
471429	3.197	2.895			OK
471430	3.064 *	2.829 *			OK
471431	3.189	2.885			OK
471432	3.207	2.909			OK
471433	3.203	2.907			OK
471434	3.204	2.904			OK
471435	3.193	2.892			OK
471436	3.204	2.904			OK
471437	3.204	2.909			OK
471438	3.189	2.887			OK
471439	3.195	2.890			OK
471440	3.196	2.881			OK
471441	3.184	2.874			OK
471442	3.201	2.899			OK
471443	3.191	2.892			OK
471444	3.188	2.898			OK
471445	3.194	2.897			OK
471446	3.192	2.872			OK
471447	3.206	2.907			OK
471448	3.196	2.893			OK
471449	3.189	2.889			OK
471450	3.061 *	2.830 *			OK
471451	3.122 *	2.879			OK
471452	3.200	2.903			OK
471453	3.198	2.895			OK
471454	3.196	2.888			OK
