Barcode	Outlier
465403	OK
465404	Outlier-Low
465405	OK
465406	OK
465407	OK
465408	OK
465409	OK
465410	Outlier-Low
465411	OK
465412	OK
465413	OK
465414	OK
465415	OK
465416	OK
465417	OK
465418	Outlier-High
465419	OK
465420	OK
465421	OK
465422	OK
465423	OK
465424	OK
465425	OK
465426	OK
465427	OK
465428	OK
465429	OK
465430	OK
465431	OK
465432	Outlier-Low
465433	OK
465434	OK
465435	OK
465436	OK
465437	OK
465438	OK
465439	Outlier-Low
465440	OK
465441	OK
465442	OK
465443	Outlier-Low
465444	OK
465445	OK
465446	OK
465447	OK
465448	Outlier-Low
465449	OK
465450	OK
465451	OK
465452	Outlier-Low
465453	OK
465454	OK
465455	OK
465456	OK
465457	OK
465458	OK
465459	OK
465460	OK
465461	OK
465462	Outlier-Low
465463	OK
465464	OK
465465	OK
465466	Outlier-Low
465467	OK
465468	OK
465469	OK
465470	Outlier-Low
465471	OK
465472	OK
465473	OK
465474	OK
