Barcode	Pre-OCV	Pre-CCV	Post-OCV	Post-CCV	Outlier
470969	1.637		1.636	1.527	OK
470970	1.637		1.637	1.538	OK
470971	1.637		1.636	1.519	OK
470972	1.637		1.636	1.517	OK
470973	1.637		1.637	1.536	OK
470974	1.636		1.636	1.510	OK
470975	1.636		1.636	1.515	OK
470976	1.628 *		1.627 *	1.525	OL OL
470977	1.638		1.637	1.528	OK
470978	1.637		1.637	1.516	OK
470979	1.637		1.636	1.534	OK
470980	1.635		1.635	1.538	OK
470981	1.629 *		1.628 *	1.520	OL OL
470982	1.632		1.632 *	1.518	OL
470983	1.636		1.636	1.521	OK
470984	1.633		1.632 *	1.537	OL
470985	1.637		1.636	1.511	OK
470986	1.635		1.635	1.534	OK
470987	1.637		1.636	1.527	OK
470988	1.633		1.632 *	1.534	OL
470989	1.637		1.636	1.525	OK
470990	1.637		1.637	1.515	OK
470991	1.637		1.637	1.510	OK
470992	1.635		1.634	1.523	OK
470993	1.637		1.637	1.536	OK
470994	1.637		1.637	1.533	OK
470995	1.627 *		1.626 *	1.523	OL OL
470996	1.635		1.635	1.510	OK
470997	1.637		1.636	1.523	OK
470998	1.637		1.636	1.518	OK
470999	1.635		1.634	1.536	OK
471000	1.635		1.635	1.523	OK
471001	1.636		1.636	1.528	OK
471002	1.635		1.635	1.510	OK
471003	1.637		1.637	1.537	OK
471004	1.637		1.636	1.540	OK
