Barcode	Pre-OCV	Pre-CCV	Post-OCV	Post-CCV	Outlier
471259	3.257 *	3.192 *			OK
471260	3.252	3.223			OK
471261	3.253	3.227			OK
471262	3.244 *	3.222			OK
471263	3.249	3.225			OK
471264	3.253	3.211			OK
471265	3.249	3.212			OK
471266	3.252	3.225			OK
471267	3.250	3.225			OK
471268	3.247	3.219			OK
471269	3.250	3.227			OK
471270	3.251	3.226			OK
471271	3.242 *	3.215			OK
471272	3.248	3.219			OK
471273	3.249	3.225			OK
471274	3.254	3.209			OK
471275	3.254	3.230			OK
471276	3.250	3.224			OK
471277	3.251	3.227			OK
471278	3.244 *	3.218			OK
471279	3.248	3.211			OK
471280	3.249	3.214			OK
471281	3.250	3.226			OK
471282	3.245	3.223			OK
471283	3.252	3.217			OK
471284	3.248	3.223			OK
471285	3.251	3.228			OK
471286	3.246	3.223			OK
471287	3.250	3.225			OK
471288	3.248	3.224			OK
471289	3.251	3.226			OK
471290	3.246	3.222			OK
471291	3.250	3.225			OK
471357	3.248	3.222			OK
