Barcode	Pre-OCV	Pre-CCV	Post-OCV	Post-CCV	Outlier
471260	3.251	3.183			OK
471261	3.252	3.150 *			OK
471263	3.249	3.177			OK
471264	3.246	3.174			OK
471265	3.247	3.157 *			OK
471266	3.251	3.180			OK
471267	3.249	3.184			OK
471268	3.247	3.176			OK
471269	3.250	3.181			OK
471270	3.250	3.185			OK
471272	3.246	3.160 *			OK
471273	3.249	3.179			OK
471274	3.253	3.187			OK
471275	3.253	3.187			OK
471276	3.250	3.177			OK
471277	3.251	3.183			OK
471279	3.248	3.182			OK
471280	3.249	3.185			OK
471281	3.250	3.183			OK
471282	3.247	3.180			OK
471283	3.245	3.177			OK
471284	3.247	3.172			OK
471285	3.251	3.183			OK
471286	3.246	3.178			OK
471287	3.249	3.180			OK
471288	3.247	3.182			OK
471289	3.250	3.163			OK
471290	3.246	3.181			OK
471291	3.249	3.183			OK
471357	3.248	3.176			OK
471360	3.251	3.188			OK
471361	3.253	3.189			OK
471362	3.251	3.186			OK
471363	3.245	3.185			OK
12345	1.677 !	1.559 !			OK
123456	1.779 !	1.751 !			OK
123457	1.776 !	1.748 !			OK
123457	1.776 !	1.748 !			OK
