Barcode	Outlier
456333	Outlier-Low
456333	Outlier-Low
456333	Outlier-Low
456360	Outlier-Low
456336	OK
456354	Outlier-Low
456375	Outlier-Low
456362	OK
456380	OK
456428	OK
456381	OK
456346	OK
456410	Outlier-Low
456335	Rust
456350	OK
456351	OK
456404	OK
456349	OK
456358	OK
456422	OK
456726	OK
456427	OK
456413	OK
456391	Outlier-High
456394	OK
456407	OK
456379	OK
456388	OK
456337	OK
456396	OK
456347	OK
456374	OK
456332	Outlier-Low
456403	OK
456408	Outlier-High
456416	OK
456406	Outlier-High
456334	leak
456342	OK
456368	OK
456364	OK
456367	OK
456395	Outlier-Low
456352	OK
456371	OK
456387	Outlier-Low
456389	OK
456399	OK
456383	OK
456338	OK
456392	OK
456401	OK
456417	OK
456418	OK
456355	OK
456386	OK
456412	OK
456348	OK
456353	OK
456402	OK
456425	OK
456331	OK
456369	OK
456385	OK
456357	OK
456359	OK
456361	OK
456378	OK
456419	OK
456340	OK
456344	OK
456363	OK
456382	OK
456390	Outlier-High
456429	OK
456372	OK
456376	Outlier-Low
456377	OK
456400	OK
456365	OK
456393	OK
456397	OK
456411	OK
456415	OK
456430	OK
456370	Outlier-High
456384	OK
456398	OK
456339	OK
456405	OK
456420	OK
456424	OK
456345	OK
456409	OK
456356	Outlier-High
456414	OK
456341	Outlier-High
456421	OK
456366	Outlier-High
