Barcode	Serial#	Pre-OCV	Pre-CCV	Post-OCV	Post-CCV	Date	Lot Number	Comments	Pre-screen pass	Post-screen pass
455150		1.751	1.7280000000000002			2019-12-06	9011		Pass	
455152		1.744	1.719			2019-12-06	9011		Pass	
455151		1.737	1.713			2019-12-06	9011		Pass	
449459		1.8119999999999998	1.7830000000000001			2019-12-09	9011		Pass	
449458		1.809	1.778			2019-12-09	9011		Pass	
449457		1.8030000000000002	1.774			2019-12-09	9011		Pass	
449456		1.8	1.771			2019-12-09	9011		Pass	
449455		1.796	1.767			2019-12-09	9011		Pass	
449454		1.7919999999999998	1.763			2019-12-09	9011		Pass	
455489		1.808	1.786			2020-02-28	9011		Pass	
455488		1.804	1.7819999999999998			2020-02-28	9011		Pass	
455492		1.8	1.778			2020-02-28	9011		Pass	
1556654		1.797	1.775			2020-03-02	9011		Pass	
16564		1.791	1.77			2020-03-02	9011		Pass	
31113		1.767	1.747			2020-03-11	9011		Pass	
