Barcode	Serial#	Pre-OCV	Pre-CCV	Post-OCV	Post-CCV	Date	Lot Number	Comments	Pre-screen pass	Post-screen pass
455150		1.809	1.805	1.8090000000000002	1.806	2020-01-03	10945		Pass	Pass
455154		1.8090000000000002	1.806	1.8119999999999998	1.808	2020-01-03	10945		Pass	Pass
455153		1.818	1.813	1.812	1.809	2020-01-03	10945		Pass	Pass
455152		1.8130000000000002	1.8090000000000002	1.817	1.8130000000000002	2020-01-03	10945		Pass	Pass
455151		1.812	1.808	1.802	1.7990000000000002	2020-01-03	10945		Pass	Pass
449450		1.6909999999999998	1.689			2020-01-08	10945		Pass	
460324		1.7069999999999999	1.705			2020-01-08	10945		Pass	
455488		1.797	1.794			2020-01-09	10945		Pass	
55555		1.714	1.714	1.736	1.734	2021-06-18	10945		Pass	Pass
6666		1.7409999999999999	1.7380000000000002	1.74	1.738	2021-06-18	10945		Pass	Pass
