Barcode	Serial#	Pre-OCV	Pre-CCV	Post-OCV	Post-CCV	Date	Lot Number	Comments	Pre-screen pass	Post-screen pass
470969		1.6369999999999998		1.636	1.527	5/5/2021	12965		Pass	Pass
470970		1.6369999999999998		1.6369999999999998	1.538	5/5/2021	12965		Pass	Pass
470971		1.6369999999999998		1.636	1.5190000000000001	5/5/2021	12965		Pass	Pass
470972		1.6369999999999998		1.636	1.517	5/5/2021	12965		Pass	Pass
470973		1.6369999999999998		1.6369999999999998	1.536	5/5/2021	12965		Pass	Pass
470974		1.636		1.636	1.51	5/5/2021	12965		Pass	Pass
470975		1.636		1.636	1.515	5/5/2021	12965		Pass	Pass
470976		1.6280000000000001		1.6269999999999998	1.525	5/5/2021	12965		Pass	Pass
470977		1.6380000000000001		1.6369999999999998	1.528	5/5/2021	12965		Pass	Pass
470978		1.6369999999999998		1.6369999999999998	1.516	5/5/2021	12965		Pass	Pass
470979		1.6369999999999998		1.636	1.534	5/5/2021	12965		Pass	Pass
470980		1.635		1.635	1.538	5/5/2021	12965		Pass	Pass
470981		1.629		1.6280000000000001	1.52	5/5/2021	12965		Pass	Pass
470982		1.632		1.632	1.518	5/5/2021	12965		Pass	Pass
470983		1.636		1.636	1.521	5/5/2021	12965		Pass	Pass
470984		1.633		1.632	1.537	5/5/2021	12965		Pass	Pass
470985		1.6369999999999998		1.636	1.511	5/5/2021	12965		Pass	Pass
470986		1.635		1.635	1.534	5/5/2021	12965		Pass	Pass
470987		1.6369999999999998		1.636	1.527	5/5/2021	12965		Pass	Pass
470988		1.633		1.632	1.534	5/5/2021	12965		Pass	Pass
470989		1.6369999999999998		1.636	1.525	5/5/2021	12965		Pass	Pass
470990		1.6369999999999998		1.6369999999999998	1.515	5/5/2021	12965		Pass	Pass
470991		1.6369999999999998		1.6369999999999998	1.51	5/5/2021	12965		Pass	Pass
470992		1.635		1.6340000000000001	1.5230000000000001	5/5/2021	12965		Pass	Pass
470993		1.6369999999999998		1.6369999999999998	1.536	5/5/2021	12965		Pass	Pass
470994		1.6369999999999998		1.6369999999999998	1.5330000000000001	5/5/2021	12965		Pass	Pass
470995		1.6269999999999998		1.626	1.5230000000000001	5/5/2021	12965		Pass	Pass
470996		1.635		1.635	1.51	5/5/2021	12965		Pass	Pass
470997		1.6369999999999998		1.636	1.5230000000000001	5/5/2021	12965		Pass	Pass
470998		1.6369999999999998		1.636	1.518	5/5/2021	12965		Pass	Pass
470999		1.635		1.6340000000000001	1.536	5/5/2021	12965		Pass	Pass
471000		1.635		1.635	1.5230000000000001	5/5/2021	12965		Pass	Pass
471001		1.636		1.636	1.528	5/5/2021	12965		Pass	Pass
471002		1.635		1.635	1.51	5/5/2021	12965		Pass	Pass
471003		1.6369999999999998		1.6369999999999998	1.537	5/5/2021	12965		Pass	Pass
471004		1.6369999999999998		1.636	1.54	5/5/2021	12965		Pass	Pass
12345		1.751				2021-07-09	12965		Pass	
