Barcode	Serial#	Pre-OCV	Pre-CCV	Post-OCV	Post-CCV	Date	Lot Number	Comments	Pre-screen pass	Post-screen pass
471455	1.0	1.622		1.622	1.521	7/9/2021	12965		Pass	Pass
471456	2.0	1.622		1.622	1.526	7/9/2021	12965		Pass	Pass
471457	3.0	1.621		1.621	1.517	7/9/2021	12965		Pass	Pass
471458	4.0	1.622		1.622	1.529	7/9/2021	12965		Pass	Pass
471459	5.0	1.621		1.621	1.5	7/9/2021	12965		Pass	Pass
471460	6.0	1.622		1.621	1.526	7/9/2021	12965		Pass	Pass
471461	7.0	1.629		1.629	1.535	7/9/2021	12965		Pass	Pass
471462	8.0	1.6269999999999998		1.6269999999999998	1.519	7/9/2021	12965		Pass	Pass
471463	9.0	1.628		1.628	1.533	7/9/2021	12965		Pass	Pass
471464	10.0	1.628		1.628	1.53	7/9/2021	12965		Pass	Pass
471465	11.0	1.632		1.632	1.536	7/9/2021	12965		Pass	Pass
471466	12.0	1.622		1.622	1.527	7/9/2021	12965		Pass	Pass
471467	13.0	1.626		1.626	1.515	7/9/2021	12965		Pass	Pass
471468	14.0	1.628		1.628	1.5219999999999998	7/9/2021	12965		Pass	Pass
471469	15.0	1.628		1.628	1.519	7/9/2021	12965		Pass	Pass
471470	16.0	1.628		1.628	1.514	7/9/2021	12965		Pass	Pass
471471	17.0	1.626		1.626	1.521	7/9/2021	12965		Pass	Pass
471472	18.0	1.628		1.628	1.504	7/9/2021	12965		Pass	Pass
12345		1.774		1.774	1.579	2021-07-12	12965		Pass	Pass
