Barcode	Serial#	Pre-OCV	Pre-CCV	Post-OCV	Post-CCV	Date	Lot Number	Comments	Pre-screen pass	Post-screen pass
471260		3.2510000000000003	3.1830000000000003			7/1/2021	13031		Pass	
471261		3.252	3.15			7/1/2021	13031		Pass	
471263		3.249	3.177			7/1/2021	13031		Pass	
471264		3.2460000000000004	3.174			7/1/2021	13031		Pass	
471265		3.247	3.157			7/1/2021	13031		Pass	
471266		3.2510000000000003	3.18			7/1/2021	13031		Pass	
471267		3.249	3.184			7/1/2021	13031		Pass	
471268		3.247	3.176			7/1/2021	13031		Pass	
471269		3.25	3.181			7/1/2021	13031		Pass	
471270		3.25	3.185			7/1/2021	13031		Pass	
471272		3.2460000000000004	3.16			7/1/2021	13031		Pass	
471273		3.249	3.179			7/1/2021	13031		Pass	
471274		3.253	3.187			7/1/2021	13031		Pass	
471275		3.253	3.187			7/1/2021	13031		Pass	
471276		3.25	3.177			7/1/2021	13031		Pass	
471277		3.2510000000000003	3.1830000000000003			7/1/2021	13031		Pass	
471279		3.248	3.182			7/1/2021	13031		Pass	
471280		3.249	3.185			7/1/2021	13031		Pass	
471281		3.25	3.1830000000000003			7/1/2021	13031		Pass	
471282		3.247	3.18			7/1/2021	13031		Pass	
471283		3.245	3.177			7/1/2021	13031		Pass	
471284		3.247	3.172			7/1/2021	13031		Pass	
471285		3.2510000000000003	3.1830000000000003			7/1/2021	13031		Pass	
471286		3.2460000000000004	3.178			7/1/2021	13031		Pass	
471287		3.249	3.18			7/1/2021	13031		Pass	
471288		3.247	3.182			7/1/2021	13031		Pass	
471289		3.25	3.1630000000000003			7/1/2021	13031		Pass	
471290		3.2460000000000004	3.181			7/1/2021	13031		Pass	
471291		3.249	3.1830000000000003			7/1/2021	13031		Pass	
471357		3.248	3.176			7/1/2021	13031		Pass	
471360		3.2510000000000003	3.188			7/1/2021	13031		Pass	
471361		3.253	3.189			7/1/2021	13031		Pass	
471362		3.2510000000000003	3.1860000000000004			7/1/2021	13031		Pass	
471363		3.245	3.185			7/1/2021	13031		Pass	
12345		1.6769999999999998	1.5590000000000002			2021-07-09	13031		Fail	
123456		1.779	1.751			2021-07-12	13031		Fail	
123457		1.776	1.7480000000000002			2021-07-12	13031		Fail	
123457		1.776	1.7480000000000002			2021-07-12	13031		Fail	
1234578		1.739	0.9059999999999999			2021-07-12	13031		Fail	
1234567		1.737	1.708			2021-07-12	13031		Fail	
