Lot No	Test No	Cell Name	Chemistry	Form Factor	Capacity	Request Number	Request Title	Tech POC.	Test Purpose	Mfg Date	Date Received	Dimension (mm)	Screening Temp(°C)	Begin Date	Finished Date	Total Sample Count	Profile One Values	Profile One Timer	Profile Onc OCV Min	Profile One CCV Min	High Rate Min(Y-axis)	High Rate Max (Y-axis)	Pre-Tab OCV	Post-Tab OCV	Post-Tab CCV	OCV Tab Tolerance	Profile Two Value	Profile Two Timer	Profile Two OCV Min	Profile Two CCV Min	Battery/Cell	Tabbed?	Profile No.	Section No.	High Rate?	Profile One Type	Profile Two Type	Note
10851.0	32186A	Maccor BT920349-001		None N.A.	None					None	2018-02-26		24.0	2019-06-17	2019-06-17	956.0	fq	asf	fg	34r	21.0	5153.0	asdf	34.0	ef	234.0	a4	1234.0	12.0	321.0	Cell	Not Tabbed	2	1	Yes	Constant Current	Constant Current	"Note(s):
peter 
ewang
1. Report Date:

2. Test Responsibility:
	
     a. Data file preparation:
     b. Technical review:
     c. Final review:
asdas"
10851.0	32186A	Maccor BT920349-001		None N.A.	None					None	2018-02-26		24.0	2019-06-17	2019-06-17	956.0	fq	asf	fg	34r	21.0	5153.0	asdf	34.0	ef	234.0	a4	1234.0	12.0	321.0	Battery	Not Tabbed	2	1	Yes	Constant Current	Constant Current	"Note(s):
peter 
ewang
1. Report Date:

2. Test Responsibility:
	
     a. Data file preparation:
     b. Technical review:
     c. Final review:
asdas"
10851.0	32186A	Maccor BT920349-001		None N.A.	None					None	2018-02-26		24.0	2019-06-17	2019-06-17	956.0	fq	asf	fg	34r	21.0	5153.0	asdf	34.0	ef	234.0	a4	1234.0	12.0	321.0	Cell	Not Tabbed	2	1	Yes	Constant Current	Constant Current	"Note(s):
peter 
ewang
1. Report Date:

2. Test Responsibility:
	
     a. Data file preparation:
     b. Technical review:
     c. Final review:
asdas"
10851.0	32186A	Maccor BT920349-001		None N.A.	None					None	2018-02-26		24.0	2019-06-17	2019-06-17	956.0	fq	asf	fg	34r	21.0	5153.0	asdf	34.0	ef	234.0	a4	1234.0	12.0	321.0	Battery	Not Tabbed	2	1	Yes	Constant Current	Constant Current	"Note(s):
peter 
ewang
1. Report Date:

2. Test Responsibility:
	
     a. Data file preparation:
     b. Technical review:
     c. Final review:
asdas"
10851.0	32186A	Maccor BT920349-001		None N.A.	None					None	2018-02-26		24.0	2019-06-17	2019-06-17	956.0	fq	asf	fg	34r	21.0	5153.0	asdf	34.0	ef	234.0	a4	1234.0	12.0	321.0	Cell	Not Tabbed	2	1	Yes	Constant Current	Constant Current	"Note(s):

1. Report Date:

2. Test Responsibility:
	
     a. Data file preparation:
     b. Technical review:
     c. Final review:
"
10521peter	152351peter	awe		asf	12e	vasdf		sdfa		4	123	vc	r1	e	124	123.0	2134	ewq	234	123							123	123.0	ewf	12333.0	Cell	Not Tabbed	2	1	No	Constant Current	Constant Resistor	"Note(s):
ppppppp
1. Report Date:

2. Test Responsibility:
	
     a. Data file preparation:
     b. Technical review:
     c. Final review:
"
10521peter	152351peter	awe		asf	12e	vasdf		sdfa		4	123	vc	r1	e	124	123.0	2134	ewq	234	123							123	123.0	ewf	12333.0	Cell	Not Tabbed	2	1	No	Constant Current	Constant Resistor	"Note(s):
ppppppp
1. Report Date:

2. Test Responsibility:
	
     a. Data file preparation:
     b. Technical review:
     c. Final review:
"
10851	32186A	Maccor BT920349-001		None N.A.	None					None	2018-02-26		24	2019-06-17	2019-06-17	956.0	fq	asf	fg	34r	21.0	5153.0	asdf	34.0	ef	234.0	a4	1234.0	12	321.0	Battery	Tabbed	1	1	Yes	Constant Current	Constant Current	"Note(s):

1. Report Date:

2. Test Responsibility:
	
     a. Data file preparation:
     b. Technical review:
     c. Final review:
"
10851	32186A	Maccor BT920349-001		None N.A.	None					None	2018-02-26		24	2019-06-17	2019-06-17	956.0	fq	asf	fg	34r	21.0	5153.0	asdf	34.0	ef	234.0	a4	1234.0	12	321.0	Cell	Not Tabbed	1	2	Yes	Constant Current	Constant Current	"Note(s):

1. Report Date:

2. Test Responsibility:
	
     a. Data file preparation:
     b. Technical review:
     c. Final review:
"
10851	32186A	Maccor BT920349-001		None N.A.	None					None	2/26/2018		24	6/17/2019	6/17/2019	956.0	7	10	25	21	21.0	5153.0	asdf	34.0	ef	234.0	a4	1234.0	12	321.0	Battery	Not Tabbed	1	2	Yes	Constant Current	Constant Current	"Note(s):

1. Report Date:

2. Test Responsibility:
	
     a. Data file preparation:
     b. Technical review:
     c. Final review:
"
10851	32186A	Maccor BT920349-001		None N.A.	None					None	2/26/2018		24	6/17/2019	6/17/2019	956.0	100	10	25	21	21.0	5153.0	asdf	34.0	ef	234.0	a4	1234.0	12	321.0	Cell	Not Tabbed	1	2	Yes	Constant Current	Constant Current	"Note(s):

1. Report Date:

2. Test Responsibility:
	
     a. Data file preparation:
     b. Technical review:
     c. Final review:
"
10851	32186A	Maccor BT920349-001		None N.A.	None					None	2/26/2018		24	6/17/2019	6/17/2019	956.0	100	8	25	21	21.0	5153.0	asdf	34.0	ef	234.0	a4	1234.0	12	321.0	Battery	Not Tabbed	1	2	Yes	Constant Current	Constant Current	"Note(s):

1. Report Date:

2. Test Responsibility:
	
     a. Data file preparation:
     b. Technical review:
     c. Final review:
"
10851	32186A	Maccor BT920349-001		None N.A.	None					None	2/26/2018		24	6/17/2019	6/17/2019	956.0	100	5	25	21	21.0	5153.0	asdf	34.0	ef	234.0	a4	1234.0	12	321.0	Cell	Not Tabbed	1	2	Yes	Constant Current	Constant Current	"Note(s):

1. Report Date:

2. Test Responsibility:
	
     a. Data file preparation:
     b. Technical review:
     c. Final review:
"
10851	32186A	Maccor BT920349-001		None N.A.	None					None	2/26/2018		24	6/17/2019	6/17/2019	956.0	100	5	1.5	1.3	21.0	5153.0	asdf	34.0	ef	234.0	a4	1234.0	12	321.0	Battery	Not Tabbed	1	2	Yes	Constant Current	Constant Current	"Note(s):

1. Report Date:

2. Test Responsibility:
	
     a. Data file preparation:
     b. Technical review:
     c. Final review:
"
10851	32186A	Maccor BT920349-001		None N.A.	None					None	2/26/2018		24	6/17/2019	6/17/2019	956.0	100	5	1.6	1.3	21.0	5153.0	asdf	34.0	ef	234.0	a4	1234.0	12	321.0	Cell	Not Tabbed	1	2	Yes	Constant Current	Constant Current	"Note(s):

1. Report Date:

2. Test Responsibility:
	
     a. Data file preparation:
     b. Technical review:
     c. Final review:
"
10851	32186A	Maccor BT920349-001		None N.A.	None					None	2/26/2018		24	6/17/2019	6/17/2019	956.0	100	5	1.5	1.5	21.0	5153.0	asdf	34.0	ef	234.0	a4	1234.0	12	321.0	Battery	Not Tabbed	1	2	Yes	Constant Current	Constant Current	"Note(s):

1. Report Date:

2. Test Responsibility:
	
     a. Data file preparation:
     b. Technical review:
     c. Final review:
"
10851	32186A	Maccor BT920349-001		None N.A.	None					None	2/26/2018		24	6/17/2019	6/17/2019	956.0	100	5	1.5	1.3	21.0	5153.0	asdf	34.0	ef	234.0	a4	1234.0	12	321.0	Cell	Not Tabbed	1	2	Yes	Constant Current	Constant Current	"Note(s):

1. Report Date:

2. Test Responsibility:
	
     a. Data file preparation:
     b. Technical review:
     c. Final review:
"
10851	32186A	Maccor BT920349-001		None N.A.	None					None	2/26/2018		24	6/17/2019	6/17/2019	956.0	100	2	1.5	1.3	21.0	5153.0	asdf	34.0	ef	234.0	a4	1234.0	12	321.0	Battery	Not Tabbed	1	2	Yes	Constant Current	Constant Current	"Note(s):

1. Report Date:

2. Test Responsibility:
	
     a. Data file preparation:
     b. Technical review:
     c. Final review:
"
10851	32186A	Maccor BT920349-001		None N.A.	None					None	2/26/2018		24	6/17/2019	6/17/2019	956.0	100	2	1.6	1.3	21.0	5153.0	asdf	34.0	ef	234.0	a4	1234.0	12	321.0	Cell	Not Tabbed	1	2	Yes	Constant Current	Constant Current	"Note(s):

1. Report Date:

2. Test Responsibility:
	
     a. Data file preparation:
     b. Technical review:
     c. Final review:
"
10851	32186A	Maccor BT920349-001		None N.A.	None					None	2/26/2018		24	6/17/2019	6/17/2019	956.0	100	2	1.6	1.3	21.0	5153.0	1.3	1.2	1.2	0.2	110	3.0	1.5	1.3	Battery	Not Tabbed	2	1	Yes	Constant Current	Constant Current	"Note(s):

1. Report Date:

2. Test Responsibility:
	
     a. Data file preparation:
     b. Technical review:
     c. Final review:
"
10215	peterwang_123	BTC 50404-01	Li/FeS2	B.P. B.P.	12					2015-06-15	2017-07-14		24	2019-07-10	2019-07-10	3.0	120	4	1.2	1.0											Cell	Not Tabbed	1	1	No	Constant Current	Constant Current	"Note(s):

1. Report Date:

2. Test Responsibility:
	
     a. Data file preparation:
     b. Technical review:
     c. Final review:
"
10215	peterwang_123	BTC 50404-01	Li/FeS2	B.P. B.P.	12					2015-06-15	2017-07-14		24	2019-07-10	2019-07-10	3.0	120	4	1.2	1.0	1.0	2.0	3	4.0	5	6.0	7	8.0	9	10.0	Cell	Not Tabbed	2	1	Yes	Constant Current	Constant Current	"Note(s):

1. Report Date:

2. Test Responsibility:
	
     a. Data file preparation:
     b. Technical review:
     c. Final review:
"
10215	peterwang_123	BTC 50404-01	Li/FeS2	B.P. B.P.	12					2015-06-15	2017-07-14		24	2019-07-10	2019-07-10	3.0	120	4	1.2	1.0	1.0	2.0	3	4.0	5	6.0	7	8.0	9	10.0	Battery	Not Tabbed	2	1	Yes	Constant Current	Constant Current	"Note(s):

1. Report Date:

2. Test Responsibility:
	
     a. Data file preparation:
     b. Technical review:
     c. Final review:
"
10215	peterwang_123	BTC 50404-01	Li/FeS2	B.P. B.P.	12					2015-06-15	2017-07-14		24	2019-07-10	2019-07-10	3.0	120	4	1.2	1.0			3	4.0	5	6.0	7	8.0	9	10.0	Battery	Not Tabbed	2	1	No	Constant Current	Constant Current	"Note(s):

1. Report Date:

2. Test Responsibility:
	
     a. Data file preparation:
     b. Technical review:
     c. Final review:
"
10215	peterwang_123	BTC 50404-01	Li/FeS2	B.P. B.P.	12					2015-06-15	2017-07-14		24	2019-07-10	2019-07-10	3.0	120	4	1.2	1.0			3	4.0	5	6.0	7	8.0	9	10.0	Cell	Not Tabbed	2	1	No	Constant Current	Constant Current	"Note(s):

1. Report Date:

2. Test Responsibility:
	
     a. Data file preparation:
     b. Technical review:
     c. Final review:
"
10215	peterwang_123	BTC 50404-01	Li/FeS2	B.P. B.P.	12					2015-06-15	2017-07-14		24	2019-07-10	2019-07-10	3.0	120	4	1.2	1.0			3	4.0	5	6.0	7	8.0	9	10.0	Battery	Not Tabbed	2	1	No	Constant Current	Constant Current	"Note(s):

1. Report Date:

2. Test Responsibility:
	
     a. Data file preparation:
     b. Technical review:
     c. Final review:
"
10215	peterwang_123	BTC 50404-01	Li/FeS2	B.P. B.P.	12					2015-06-15	2017-07-14		24	2019-07-10	2019-07-10	3.0	120	4	1.2	1.0			3	4.0	5	6.0	1	8.0	9	10.0	Cell	Not Tabbed	2	1	No	Constant Current	Constant Current	"Note(s):

1. Report Date:

2. Test Responsibility:
	
     a. Data file preparation:
     b. Technical review:
     c. Final review:
"
10215	peterwang_123	BTC 50404-01	Li/FeS2	B.P. B.P.	12					2015-06-15	2017-07-14		24	2019-07-10	2019-07-10	3.0	120	4	1.2	1.0			3	4.0	5	6.0					Battery	Not Tabbed	2	1	No	Constant Current	Constant Current	"Note(s):

1. Report Date:

2. Test Responsibility:
	
     a. Data file preparation:
     b. Technical review:
     c. Final review:
"
10215	peterwang_123	BTC 50404-01	Li/FeS2	B.P. B.P.	12					2015-06-15	2017-07-14		24	2019-07-10	2019-07-10	3.0	120	4	1.2	1.0			3	4.0	5	6.0	119	3.0	1.2	1.3	Cell	Not Tabbed	2	1	No	Constant Current	Constant Current	"Note(s):

1. Report Date:

2. Test Responsibility:
	
     a. Data file preparation:
     b. Technical review:
     c. Final review:
"
10899	14512A	IBT Power S504050-001	Li-Ion (Polymer)	Pouch Pouch	1.25					2017-07-15	2018-03-16	50.0(H) X40.0(W) X5.0(D)	24	2019-08-01	2019-08-01	50.0															Cell	Not Tabbed	1	1	No	Constant Current	Constant Current	"Note(s):

1. Report Date:

2. Test Responsibility:
	
     a. Data file preparation:
     b. Technical review:
     c. Final review:
"
